x,,,,,,,,,,,,,,,,,,,,,,,,,
Model selection table ,,,,,,,,,,,,,,,,,,,,,,,,,
,cnd((Int)),dsp((Int)),cnd(off(log(n_dys_eff))),cnd(z.X30_BAR),cnd(z.X30_MF),cnd(z.X30_SPPG),cnd(z.X30_SPPS),cnd(z.X30_TSPG),cnd(z.X30_TSPN),cnd(z.X30_TSPS),cnd(z.X30_WAT),cnd(z.X30_WET),cnd(z.men_elv_300),cnd(z.men_tri_300),cnd(trg_hyd),cnd(trg_lnr),cnd(Mos),cnd(Msk),cnd(Gry.Wlf),cnd(z.esk_dst_m),df,logLik,AICc,delta,weight
glmm_wk_cbou_fll_comm_bu,-3.121,+,+,1.701,3.334,5.756,9.008,5.775,6.64,8.992,4.915,2.999,0.3389,-1.238,,,,,,-1.382,15,-1412.701,2855.9,0,0.892
glmm_wk_cbou_fll_comm_bu_tgt,-2.933,+,+,1.846,3.567,6.22,9.706,6.311,7.295,10.27,5.347,3.26,0.5449,-1.431,+,+,,,,-1.278,19,-1410.716,2860.2,4.31,0.103
glmm_wk_cbou_fall_dem,-3.021,+,+,,,,,,,,,,0.3681,-1.256,,,,,,,5,-1428.746,2867.6,11.67,0.003
glmm_wk_cbou_fall_lcc_2,-2.39,+,+,1.461,2.377,4.869,7.643,4.742,5.492,6.98,4.101,2.506,,,,,,,,,12,-1422.089,2868.5,12.61,0.002
glmm_wk_cbou_fall_esker,-2.855,+,+,,,,,,,,,,,,,,,,,-1.449,4,-1431.58,2871.2,15.32,0
glmm_wk_cbou_fall_null,-2.206,+,+,,,,,,,,,,,,,,,,,,3,-1434.262,2874.5,18.67,0
glmm_wk_cbou_fll_comm_td,-2.211,+,+,,,,,,,,,,,,,,,,0.1987,,4,-1434.034,2876.1,20.23,0
glmm_wk_cbou_fall_tgt_h,-2.17,+,+,,,,,,,,,,,,+,,,,,,5,-1433.178,2876.4,20.54,0
glmm_wk_cbou_fall_tgt_l,-2.199,+,+,,,,,,,,,,,,,+,,,,,5,-1434.054,2878.2,22.29,0
glmm_wk_cbou_fall_ung,-2.206,+,+,,,,,,,,,,,,,,-13.43,0.2294,,,5,-1434.062,2878.2,22.3,0
glmm_wk_cbou_fall_ungpred,-2.211,+,+,,,,,,,,,,,,,,-13.87,0.234,0.2004,,6,-1433.831,2879.7,23.86,0
glmm_wk_cbou_fll_comm_app,-2.211,+,+,,,,,,,,,,,,,,-13.87,0.234,0.2004,,6,-1433.831,2879.7,23.86,0
glmm_wk_cbou_fll_comm_td_tgt,-2.164,+,+,,,,,,,,,,,,+,+,,,0.2416,,8,-1432.624,2881.4,25.51,0
glmm_wk_cbou_fll_comm_app_tgt,-2.164,+,+,,,,,,,,,,,,+,+,-13.43,0.2153,0.2428,,10,-1432.438,2885.1,29.21,0
