x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Model selection table ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,cnd((Int)),dsp((Int)),cnd(off(log(n_dys_eff))),cnd(for_ssn) ,cnd(wek) ,cnd(z.X30_BAR),cnd(z.X30_MF),cnd(z.X30_SPPG),cnd(z.X30_SPPS),cnd(z.X30_TSPG),cnd(z.X30_TSPN),cnd(z.X30_TSPS),cnd(z.X30_WAT),cnd(z.X30_WET),cnd(z.men_elv_300),cnd(z.men_tri_300),cnd(trg_lnr),cnd(trg_hyd),cnd(Mos),cnd(Msk),cnd(Gry.Wlf),cnd(Grz.Ber),cnd(z.esk_dst_m),cnd(Gry.Wlf:Msk),cnd(Grz.Ber:Mos),cnd(Grz.Ber:Msk),df,logLik,AICc,delta,weight
glmm_wk_cbou_fourssn,-1.433,+,+,+,,,,,,,,,,,,,,,,,,,,,,,6,-3019.182,6050.4,0,1
glmm_wk_cbou_wk,-5.794,+,+,,0.07261,,,,,,,,,,,,,,,,,,,,,,4,-3194.89,6397.8,347.41,0
glmm_wk_cbou_comm_bu,-4.62,+,+,,,-0.296,-0.02145,-0.5252,-0.8326,-2.012,-3.059,1.428,-0.5437,-0.6591,0.1832,-0.2384,,,,,,,-0.6966,,,,15,-3330.943,6692,641.58,0
glmm_wk_cbou_lcc_2,-4.295,+,+,,,-0.1341,-0.03499,-0.06766,-0.1429,-1.611,-2.279,1.708,-0.1823,-0.3479,,,,,,,,,,,,,12,-3333.974,6692,641.62,0
glmm_wk_cbou_comm_bu_tgt,-4.92,+,+,,,-0.2343,-0.05704,-0.3277,-0.5407,-1.659,-2.748,1.328,-0.3309,-0.5715,0.4404,-0.3842,+,+,,,,,-0.614,,,,19,-3327.075,6692.3,641.89,0
glmm_wk_cbou_comm_td,-3.308,+,+,,,,,,,,,,,,,,,,,,1.361,-1.248,,,,,5,-3342.155,6694.3,643.94,0
glmm_wk_cbou_comm_td_tgt,-3.293,+,+,,,,,,,,,,,,,,+,+,,,1.367,-1.228,,,,,9,-3338.983,6696,645.62,0
glmm_wk_cbou_ungpred,-3.295,+,+,,,,,,,,,,,,,,,,-0.278,-0.4438,1.354,-1.251,,,,,7,-3341.061,6696.1,645.76,0
glmm_wk_cbou_comm_app,-3.296,+,+,,,,,,,,,,,,,,,,-0.2161,-0.4245,1.413,-1.157,,-40.01,-15.12,-13.4,10,-3340.274,6700.6,650.2,0
glmm_wk_cbou_esker,-3.601,+,+,,,,,,,,,,,,,,,,,,,,-0.7157,,,,4,-3346.906,6701.8,651.44,0
glmm_wk_cbou_comm_app_tgt,-3.281,+,+,,,,,,,,,,,,,,+,+,-0.2259,-0.4382,1.418,-1.136,,-40.93,-14.95,-13.87,14,-3337.017,6702.1,651.72,0
glmm_wk_cbou_null,-3.282,+,+,,,,,,,,,,,,,,,,,,,,,,,,3,-3348.22,6702.4,652.07,0
glmm_wk_cbou_tgt_h,-3.235,+,+,,,,,,,,,,,,,,,+,,,,,,,,,5,-3346.614,6703.2,652.86,0
glmm_wk_cbou_tgt_l,-3.315,+,+,,,,,,,,,,,,,,+,,,,,,,,,,5,-3346.654,6703.3,652.94,0
glmm_wk_cbou_dem,-3.575,+,+,,,,,,,,,,,,0.2493,-0.334,,,,,,,,,,,5,-3346.899,6703.8,653.43,0
glmm_wk_cbou_ung,-3.269,+,+,,,,,,,,,,,,,,,,-0.3066,-0.4529,,,,,,,5,-3347.083,6704.2,653.8,0
