x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Model selection table ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,cnd((Int)),dsp((Int)),cnd(off(log(n_dys_eff))),cnd(z.X30_BAR),cnd(z.X30_MF),cnd(z.X30_SPPG),cnd(z.X30_SPPS),cnd(z.X30_TSPG),cnd(z.X30_TSPN),cnd(z.X30_TSPS),cnd(z.X30_WAT),cnd(z.X30_WET),cnd(z.men_elv_300),cnd(z.men_tri_300),cnd(trg_hyd),cnd(trg_lnr),cnd(Mos),cnd(Msk),cnd(Gry.Wlf),cnd(Grz.Ber),cnd(z.esk_dst_m),cnd(Gry.Wlf:Msk),cnd(Grz.Ber:Mos),cnd(Grz.Ber:Msk),df,logLik,AICc,delta,weight
glmm_wk_cbou_smr_comm_bu_tgt,-4307,+,+,-7.944,-21.5,-24.39,-37.64,-31.73,-42.59,-9646,-21.47,-15.67,-0.5616,1.471,+,+,,,,,-0.9057,,,,19,-487.75,1013.8,0,0.821
glmm_wk_cbou_smr_lcc_2,-7906,+,+,-5.93,-18.01,-18.47,-28.26,-21.53,-32.57,-17720,-15.64,-11.72,,,,,,,,,,,,,12,-497.406,1018.9,5.11,0.064
glmm_wk_cbou_smr_comm_bu,-7654,+,+,-5.446,-16.04,-17.27,-26.14,-21.28,-30.68,-17150,-14.58,-11.01,-0.5598,0.7863,,,,,,,-0.9824,,,,15,-494.987,1020.2,6.35,0.034
glmm_wk_cbou_smr_esker,-9.09,+,+,,,,,,,,,,,,,,,,,,-2.54,,,,4,-506.669,1021.4,7.52,0.019
glmm_wk_cbou_smr_ung,-7.657,+,+,,,,,,,,,,,,,,1.114,0.6639,,,,,,,5,-505.984,1022,8.16,0.014
glmm_wk_cbou_smr_tgt_l,-7.615,+,+,,,,,,,,,,,,,+,,,,,,,,,5,-506.061,1022.1,8.31,0.013
glmm_wk_cbou_smr_tgt_h,-7.343,+,+,,,,,,,,,,,,+,,,,,,,,,,5,-506.136,1022.3,8.46,0.012
glmm_wk_cbou_smr_null,-7.509,+,+,,,,,,,,,,,,,,,,,,,,,,3,-508.203,1022.4,8.58,0.011
glmm_wk_cbou_smr_ungpred,-7.692,+,+,,,,,,,,,,,,,,1.209,0.7005,2.196,0.0572,,,,,7,-505.015,1024.1,10.24,0.005
glmm_wk_cbou_smr_comm_td,-7.526,+,+,,,,,,,,,,,,,,,,1.896,0.007896,,,,,5,-507.525,1025.1,11.24,0.003
glmm_wk_cbou_smr_dem,-7.208,+,+,,,,,,,,,,-0.09881,0.7219,,,,,,,,,,,5,-507.751,1025.5,11.69,0.002
glmm_wk_cbou_smr_comm_td_tgt,-7.475,+,+,,,,,,,,,,,,+,+,,,1.885,0.1019,,,,,9,-504.09,1026.3,12.42,0.002
glmm_wk_cbou_smr_comm_app,-7.689,+,+,,,,,,,,,,,,,,1.25,0.7212,2.296,0.2144,,-14.28,-13.54,-49.4,10,-504.432,1029,15.12,0
glmm_wk_cbou_smr_comm_app_tgt,-7.614,+,+,,,,,,,,,,,,+,+,1.174,0.6805,2.268,0.2708,,-15.64,-14.19,-58.3,14,-501.338,1030.9,17.02,0
