x,,,,,,,,,,
Model selection table ,,,,,,,,,,
                                cnd((Int)) dsp((Int)) cnd(off(log(n_dys_eff))) cnd(z.esk_dst_m) cnd(z.men_elv_300) cnd(z.men_tri_300) cnd(z.X30_BAR),,,,,,,,,,
glmm_wk_cbou_spri_null              -6.223          +                        +                                                                      ,,,,,,,,,,
glmm_wk_cbou_spr_comm_bu           -18.690          +                        +         -0.00453             0.8112             0.4910        -0.1331,,,,,,,,,,
glmm_wk_cbou_spr_comm_td            -6.965          +                        +                                                                      ,,,,,,,,,,
glmm_wk_cbou_spr_comm_bu_tgt       -19.780          +                        +         -0.01934             0.9620             0.9838        -0.1179,,,,,,,,,,
glmm_wk_cbou_spr_comm_app_3         -6.676          +                        +                                                                      ,,,,,,,,,,
glmm_wk_cbou_spr_comm_td_tgt        -6.674          +                        +                                                                      ,,,,,,,,,,
glmm_wk_cbou_spr_comm_app_2         -6.589          +                        +                                                                      ,,,,,,,,,,
glmm_wk_cbou_spr_comm_app_3_tgt     -6.895          +                        +                                                                      ,,,,,,,,,,
                                cnd(z.X30_MF) cnd(z.X30_SPP) cnd(z.X30_TSPG) cnd(z.X30_TSPN) cnd(z.X30_WAT) cnd(z.X30_WET) cnd(scl(Gry.Wlf)),,,,,,,,,,
glmm_wk_cbou_spri_null                                                                                                                      ,,,,,,,,,,
glmm_wk_cbou_spr_comm_bu               -13.15        -0.5555          -2.577          -5.387        0.03251         0.4732                  ,,,,,,,,,,
glmm_wk_cbou_spr_comm_td                                                                                                             -7.3240,,,,,,,,,,
glmm_wk_cbou_spr_comm_bu_tgt           -14.05        -0.5643          -5.027          -4.230       -0.26360         0.4095                  ,,,,,,,,,,
glmm_wk_cbou_spr_comm_app_3                                                                                                                 ,,,,,,,,,,
glmm_wk_cbou_spr_comm_td_tgt                                                                                                         -2.6660,,,,,,,,,,
glmm_wk_cbou_spr_comm_app_2                                                                                                          -0.9294,,,,,,,,,,
glmm_wk_cbou_spr_comm_app_3_tgt                                                                                                             ,,,,,,,,,,
,cnd(scl(Grz.Ber)),cnd(trg_hyd),cnd(trg_lnr),cnd(scl(Mos)),cnd(scl(Msk)),cnd(scl(Prd)),cnd(scl(Ung)),cnd(Prd:Ung),df,logLik
glmm_wk_cbou_spri_null,,,,,,,,,3,-270.85
glmm_wk_cbou_spr_comm_bu,,,,,,,,,13,-261.319
glmm_wk_cbou_spr_comm_td,-1.602,,,,,,,,5,-270.307
glmm_wk_cbou_spr_comm_bu_tgt,,+,+,,,,,,17,-258.284
glmm_wk_cbou_spr_comm_app_3,,,,,,-1.993,-2.375,0.004072,6,-269.878
glmm_wk_cbou_spr_comm_td_tgt,-1.457,+,+,,,,,,9,-267.607
glmm_wk_cbou_spr_comm_app_2,-1.172,,,-1.383,-1.563,,,,7,-269.878
glmm_wk_cbou_spr_comm_app_3_tgt,,+,+,,,-1.944,-3.331,-0.05749,10,-267.198
,AICc,delta,weight,,,,,,,
glmm_wk_cbou_spri_null,547.7,0,0.444,,,,,,,
glmm_wk_cbou_spr_comm_bu,548.9,1.17,0.248,,,,,,,
glmm_wk_cbou_spr_comm_td,550.7,2.94,0.102,,,,,,,
glmm_wk_cbou_spr_comm_bu_tgt,551,3.27,0.087,,,,,,,
glmm_wk_cbou_spr_comm_app_3,551.8,4.1,0.057,,,,,,,
glmm_wk_cbou_spr_comm_td_tgt,553.3,5.62,0.027,,,,,,,
glmm_wk_cbou_spr_comm_app_2,553.8,6.12,0.021,,,,,,,
glmm_wk_cbou_spr_comm_app_3_tgt,554.5,6.83,0.015,,,,,,,
Models ranked by AICc(x) ,,,,,,,,,,
Random terms (all models): ,,,,,,,,,,
  cond(1 | location_site),,,,,,,,,,
