x,,,,,,,,,,,,,,,,,,,,,,,,,
Model selection table ,,,,,,,,,,,,,,,,,,,,,,,,,
,cnd((Int)),dsp((Int)),cnd(off(log(n_dys_eff))),cnd(z.X30_BAR),cnd(z.X30_MF),cnd(z.X30_SPPG),cnd(z.X30_SPPS),cnd(z.X30_TSPG),cnd(z.X30_TSPN),cnd(z.X30_TSPS),cnd(z.X30_WAT),cnd(z.X30_WET),cnd(z.men_elv_300),cnd(z.men_tri_300),cnd(trg_lnr),cnd(trg_hyd),cnd(Mos),cnd(Msk),cnd(Gry.Wlf),cnd(z.esk_dst_m),df,logLik,AICc,delta,weight
glmm_wk_wtr_comm_bu,-8.718,+,+,0.9343,1.604,2.352,3.855,-0.7208,0.8922,-1.638,1.808,1.377,0.007141,1.103,,,,,,0.2915,15,-556.019,1142.2,0,0.665
glmm_wk_wtr_lcc_2,-8.823,+,+,0.3526,0.7207,0.5899,1.065,-2.505,-1.67,-2.31,0.4297,0.3419,,,,,,,,,12,-559.81,1143.7,1.53,0.31
glmm_wk_wtr_comm_bu_tgt,-8.697,+,+,1.142,1.858,3.012,4.843,0.1144,1.864,-0.8344,2.441,1.731,0.1107,1.001,+,+,,,,0.3042,19,-555.266,1148.8,6.59,0.025
glmm_wk_wtr_dem,-6.992,+,+,,,,,,,,,,0.916,-0.2295,,,,,,,5,-585.356,1180.7,38.54,0
glmm_wk_wtr_comm_td,-7.491,+,+,,,,,,,,,,,,,,,,1.554,,4,-586.458,1180.9,38.74,0
glmm_wk_wtr_esker,-7.345,+,+,,,,,,,,,,,,,,,,,-1.184,4,-586.579,1181.2,38.98,0
glmm_wk_wtr_null,-7.519,+,+,,,,,,,,,,,,,,,,,,3,-589.146,1184.3,42.11,0
glmm_wk_wtr_ungpred,-7.46,+,+,,,,,,,,,,,,,,-13.5,-24.37,1.554,,6,-586.174,1184.4,42.18,0
glmm_wk_wtr_comm_app,-7.46,+,+,,,,,,,,,,,,,,-13.5,-24.37,1.554,,6,-586.174,1184.4,42.18,0
glmm_wk_wtr_tgt_l,-7.531,+,+,,,,,,,,,,,,+,,,,,,5,-588.479,1187,44.78,0
glmm_wk_wtr_ung,-7.488,+,+,,,,,,,,,,,,,,-13.56,-24.37,,,5,-588.865,1187.7,45.56,0
glmm_wk_wtr_comm_td_tgt,-7.519,+,+,,,,,,,,,,,,+,+,,,1.48,,8,-585.976,1188,45.81,0
glmm_wk_wtr_tgt_h,-7.504,+,+,,,,,,,,,,,,,+,,,,,5,-589.097,1188.2,46.02,0
glmm_wk_wtr_comm_app_tgt,-7.489,+,+,,,,,,,,,,,,+,+,-13.76,-24.77,1.479,,10,-585.692,1191.5,49.26,0
